sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
I like weightlifting.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
I made the most rational choice.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
I carried my son in my arms the whole hike because he couldn't walk.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,I
I always like to give back when someone helps me.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
"I shouldn't wish for a nicer figure, because mine is already perfect.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,"I couldn't wish for a nicer figure, because mine is already perfect.",NS,MP,B
I didn't know that taking care of a family would be so difficult.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,I
People used to tell me that I'm restless because I always have to be doing something.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,People tell me I'm restless because I constatnly need to be doing something.,NS,MP,I
I like it when others make decisions for me.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
I was sacked because I kept coming late.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,M
"I had many options to marry, but I choose none.",Stereotyp #7: Ženy sú krásne,x,,,,,,x,,,,,,,I had many opportunities to marry but I chose not to.,NS,MP,B
I planned our finances for the next year.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
I gave the inheritance to my children.,Stereotyp #12: Muži zaopatrujú,,,,x,,,x,,,,,,,,NS,MP,A
I bought a dangerous dog breed.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,B
Nobody appreciated how tanned I got during the summer.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,A
I wish I could host more parties at my place.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,A
I was at a congress with colleagues last week.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
I am the one who manages the family finances.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,I
I could only afford working part time because my parents still supported me financially.,Stereotyp #14: Muži sú detinskí,x,,,,,,,,,x,no,,žiadny zo streotypov mi tam nesedí,I only had to work part time because my family still supported me financially.,NS,MP,A
I am extremely discerning when it comes to choosing a sexual partner.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,I
I was happy to see that I was wanted.,Stereotyp #15: Muži sú sexuálni,,,,x,,,x,,,,,,,I was happy that I was in demand.,NS,MP,B
I did clean my bathroom for a month because I did not feel like doing it.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,I didn't clean my bathroom for a month because I did not feel like doing it.,NS,MP,M
I was looking forward to my new job because I knew that I'd make a lot of new friends there.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,P
I'm happiest when my whole apartment is tidy.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,I
"I had to ask them to change my glass, it was really dirty.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I have never doubted my own competence.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,M
I'm not that stupid as they think I am.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,I'm not as stupid as they think I am.,NS,MP,P
"When facing adversity or setbacks, I would often resort to blaming external factors .",Stereotyp #14: Muži sú detinskí,,x,,,,,,,,x,no,,to ide celkom proti #11,,NS,MP,M
"I wish I could see what is going through their head, so I can be of more help.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
I'm too experienced to waste my time here.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,I
I took them to a water park.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,A
I sacrificed my own authenticity to avoid displeasing others.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
I started self defence course.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,I joined a self-defence course.,NS,MP,P
I could easily join the army.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,A
My to do list was neverending but I kept going.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,M
I didn't want my partner to work.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,B
I negotiated with service providers such as internet or cable companies to secure the most cost-effective plans.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,M
I had to shave my legs before the race.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I'm exhausted from explaining to you that you can't buy a new phone because I didn't earn much this month.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
I helped the neighbour with carrying her shopping bags.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,A
"I shouldn't argue, because it's better to keep the household calm.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,B
When is the last time you had sex?,Stereotyp #15: Muži sú sexuálni,,,,x,,,x,,,,,,,When was the last time you had sex?,NS,MP,P
I wouldn't be satisfied with myself if I didn't finish the race.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,P
"They think I'm shy, but I just don't want to embarrass myself.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
"They say I'm insensitive, but I call it sensible.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,I
I had tough military training.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,I
I always had authority and others naturally saw me as a leader.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,P
We won the competition thanks to the idea I had a month ago.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,B
I like to have fun.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,P
I did not have money so I dug the hole for the pool on my own.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,A
I wish I had passed the physical test!,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
"I hated logic, because it was often not romantic.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,I hated logic because it often wasn't romantic.,NS,MP,B
I had cameras installed around the house so nothing would happen to me.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,I
I weightlifted a lot during my college years and it still shows although I am 40 years old.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,M
I almost started to cry.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,I almost started crying.,NS,MP,B
I wanted him to feel welcomed.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,I wanted him to feel welcome.,NS,MP,P
"When I was their age, I behaved like a child too.",Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,,x,,,,,,,,NS,MP,B
I have never believed in superstitions.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,I
I could not stop thinking about the sex we had last night.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
"I encountered a fear that weakened my resolve, preventing me from taking necessary risks and stepping outside of my comfort zone.",Stereotyp #6: Ženy sú slabé,,,,,x,,,,,x,no,,"#11, veta znie veľmi logicky, stereotypne mužsky",,NS,MP,M
"I knew that I'm capable of more, but I have family, so my priorities changed.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,P
I have always wanted to behave as they expected me to.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,B
I can't imagine having a family and having to take care of them someday.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,I
I always made sure that my partners favourite snacks were in the cupboard.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
I never like speaking out loud.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,I never liked speaking out loud.,NS,MP,A
I thought therapy was for weak people.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,P
"When I'm sad, I go shopping.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,P
"When I'm with him, I'm angry.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
I swept and mopped the floors of my home.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,M
I was never so sure about my test results.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,A
I always took taking care of my family finances  seriously.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,I always took taking care of my family's finances seriously.,NS,MP,A
Maybe if I acted nicer they would say yes.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,A
They were rude so I had to punch them.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,P
I offered to help them with moving.,Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,,x,no,,#16 - silný muž pomôže sťahovať,,NS,MP,A
"I didn't know what to do, so I relied on my gut.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,B
I got a fine for speeding on the highway.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,A
"I am non-confrontational and level-headed, which is also why people look up to me.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
I expected the salary increase.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,A
I am courageous.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,B
I knew how to deal with this type of client.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,B
This problem turned out to be too difficult and I got furious.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,B
I don't think I have a strong enough character to be a company director.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,I
I had a really nice face when I was young.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,B
"People would often turn to me for fashion and style advice, recognizing my good taste and sense of aesthetics so I knew I was appreciated.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
I like to try new things with my partner.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,I
I saved up a lot of money for my childrens education.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,A
I'm always ready to help you with anything around your car.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
I told him that nothing was wrong although I was really upset.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
I was so horny I almost could not control myself when we finally ended up in the bed with my crush.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,M
I didn't make any hasty mistakes.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,M
"I don't like watching videos of abandoned puppies, it makes me cry.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,I
I am a miner.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
I felt a rush of desire as I was kissed and immediately felt aroused.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,M
I didn't want to stay at home with kids because I would loose a really good job.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
My core strength is still very good because I went to gym three times a week.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,My core strength is still very good because I go to gym three times a week.,NS,MP,M
I implemented some changes in our offices that will benefit all my employees.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,A
I invited my friends to my place to have a dinner.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,M
I was never sitting at home at Friday night.,Stereotyp #5: Ženy sú spoločenské,,,x,,,,,x,,,no,,#14?,I never stayed at home on a Friday night.,NS,MP,P
"Had I been lazy, I wouldn't be able to afford this luxury.",Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,,x,no,,#10? muži sú disciplinovaní?,,NS,MP,B
"I felt so many emotions, I could not breathe.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
I was the lead author of the research paper.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,A
I worked in a laboratory.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,A
I fired everyone who made me angry.,Stereotyp #9: Muži sú sebavedomí,,x,,,,,,,x,,fix,#8,#1?,,NS,MP,B
I assembled the furniture alone.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
"When someone calls me out, I'm always happy to say yes.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,"When someone calls me to go out, I'm always happy to say yes.",NS,MP,I
I like to analyse problems from various perspectives.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
I offered a supportive ear and understanding without judgment.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,M
"I tried to lift the piano, but I couldn't.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
I was late so I invited them for a nice lunch.,Stereotyp #12: Muži zaopatrujú,,,,x,,,x,,,,,,,,NS,MP,A
I offered my help with doing the dishes.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
My friend told me that I overreacted.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
I am sure there is a higher power controlling my life.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,A
"I don't like gossiping, it's a waste of time.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,I
"Although I don't like this dish, I made it for my family.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,B
"After walking into the meeting room, I shook everyone's hand.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,A
I did easily manage my team and got the job done.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,I managed my team with ease and got the job done.,NS,MP,P
My GP referred me to a very good ophtalmologist because my eyesight was getting poor recently.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,M
"There is so much going on inside my mind, I can barely focus.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,A
"I consistently met project deadlines at work, putting in extra effort and working diligently to deliver high-quality results.",Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,,x,no,,,,NS,MP,M
I'm good at navigating.,Stereotyp #6: Ženy sú slabé,,,,,x,,,,,x,fix,#13,#13?,,NS,MP,P
"People around me know that if they need something, I'm happy to help.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,I
I turned on the washing machine.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,B
I stood in front of them and told them we can do it.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,I stood up in front of them and told them we could do it.,NS,MP,P
I observed them to see whether they were satisfied with the meal I made.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
If only I could call and check how they are doing.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
I could not resist cleaning those dirty windows.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I checked if the children did their homework.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,B
I have never let any of my clients down.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
"I've been told that I'm a true professional – always focused, organized, and get the job done efficiently.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,P
I told them to let me buy them the things they needed.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,B
I made sure the dough was the perfect temperature.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I like curved bodies.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,B
I've made such a name for myself that they won't do anything without my permission.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
I avoided conflicts at all costs.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
"I organized my to-do list based on priority, tackling the most important tasks first.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,M
I wanted to go to the cinema instead of watching the movie at home.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,B
I was bored so I went to a speedating event.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,A
I am very good at pretending that I am fine.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,A
I didn't even consider the possibility that I would fail.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,B
I saw Fifty Shades of Grey last week.,Stereotyp #15: Muži sú sexuálni,x,,,,,,,,,x,no,,neviem či práve vhodný výber filmu pre tento stereotyp,,NS,MP,B
I should wash the car.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,B
I threw myself a birthday party to get lots of presents.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,I
"Even if I was afraid of something, I would never admit it.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,I
People think of me as a wimp just because I'm good to others.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
I never lost my temper.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
"In order not to burn out, I try to create a work-life balance.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,I
I tried to be kind at all costs not to displease anyone.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
I went volunteering to Africa.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
I like to play a computer games.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,I like to play computer games.,NS,MP,P
"I completely lost my cool over a trivial matter and acted irrationally, letting my emotions take over.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
I knew how to fix a broken car.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,P
I feel happiest when being in charge of everything.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,I feel the happiest when I'm in charge of everything.,NS,MP,P
I was skating before I could even walk.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,I
I wouldn't let anyone dictate what I should do.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,I
I couldn't wear shorts even if it was hot outside because I didn't want to provoke anybody.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,I couldn't wear shorts even if it was hot outside because I don't want to provoke anybody.,NS,MP,P
I like helping people.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,B
I could easily seduce you with just my looks.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,A
I have decided that I will praise at least one person every day.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
I like giving orders.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,A
I hated my body.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,P
"I am an accomplished writer, my books are usually bestsellers.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,M
"I shouldn't have taken that personally, but I was really offended.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,B
"I had already made up my mind, so your argument will not work.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,A
I wouldn't hurt a fly.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
"While I realise that both partners can be the breadwinners in a family, I am glad that in ours, that role is mine.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,I
"When I heard about the event, I decided to go.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,B
They do not dare to questions the decisions that I have made.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,A
I worked out daily to look like this.,Stereotyp #16: Muži sú silní,,x,,,,,,,x,,no,,#7??,,NS,MP,B
I can take this - I have always managed.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
Just because I demand discipline from my employees doesn't mean I don't like them.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
I think I was born to help others.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,I
Their suffering touched me - I wanted to comfort them.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,B
I built the house alone.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
I was not able to complete the excercise becauseI am too exhausted.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,I was not able to complete the excercise because I am too exhausted.,NS,MP,A
I calculated our spendings to budget properly.,Stereotyp #11: Muži sú racionálni,,,,,x,,x,,,,,,,,NS,MP,B
I realised that children are individual creatures that I cannot shape based on my ideas and desires.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,I
I started screaming because I got angry.,Stereotyp #14: Muži sú detinskí,x,,,,,,,,,x,fix,#8,#1?,,NS,MP,M
"To avoid losing anything, I prefer to back up all my data.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
I got very upset.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
I can gladly take your bag.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,I will gladly take your bag.,NS,MP,P
I liked having company better.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,B
I made a group chat for all the new classmates.,Stereotyp #5: Ženy sú spoločenské,,,,x,,,,,,x,ok,,#9,,NS,MP,A
I caught myself daydreaming about having sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I reached a new personal record.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
I had never thought that I could come to harm.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,B
I can't imagine risking my life for five minutes of fun.,Stereotyp #11: Muži sú racionálni,x,,,,,,,,x,,no,,#6,,NS,MP,I
I would never let privacy interfere with my work life.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
I calmly addressed a conflict with a colleague.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,M
I coached the youth football team.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,A
I helped you change the tyres on your car because I'm stronger.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
I have always enjoyed teaching others.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
"Kissing was important to me, but so was sex.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,B
"I felt a boost of confidence as I caught myself in the mirror, recognizing that I was undeniably good-looking.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
The cleaners left the entrance door open.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,,x,,,,,,,,NS,MP,A
When I'm out with my friend we gossip way too much.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,P
I had difficulty taking responsibility for my actions.,Stereotyp #14: Muži sú detinskí,,,,x,,,x,,,,,,,,NS,MP,M
"As a human resources manager, I effectively recruited top talent, facilitated employee training and development programs.",Stereotyp #10: Muži sú profesionálni,x,,,,,,,x,,,fix,#5,HR je asi stereotypne ženské povolanie ,,NS,MP,M
I never made my decision based on emotions.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,P
"Being the provider means being responsible for putting food on the table, so I provided.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,M
I carefully proofread and edited my written assignments before submitting them.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,M
The shelter held a Christmas auction where I bought a beautiful paw bracelet.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,I
"I knew that if I don't do it, then it won't be done at all.",Stereotyp #4: Ženy sú čistotné a usilovné,,,,x,,,,,x,,no,,#9??,,NS,MP,P
"I volunteered at a local shelter, actively engaging with individuals experiencing homelessness, and showing empathy by providing care and support.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,M
I'm successful.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,P
I struggled with managing my finances responsibly.,Stereotyp #14: Muži sú detinskí,,x,,,,,,,,x,no,,toto ide úplne proti #12,,NS,MP,M
I learned a foreign launguage to have better foreign contacts.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,B
I polished the cutlery until it was spotless.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I first consulted a professional before making the final choice.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
