from,to
I have always trusted my skills.,Vedno sem zaupal svojim sposobnostim.
I don't like to argue with others because I can't hold back my tears.,"Ne maram se prepirati z drugimi, ker ne morem zadržati solz."
I could not wait until the highschool reunion.,Nisem mogel čakati na srečanje v srednji šoli.
I promised them everything would be okay.,"Obljubil sem jim, da bo vse v redu."
I flexed my bicep every time I had an opportunity.,"Vsakič, ko sem imel priložnost, sem upognil bicep."
I led group activities often.,Pogosto sem vodil skupinske dejavnosti.
I enjoy doing dangerous and extreme sports.,Uživam v nevarnih in ekstremnih športih.
Why did I even agree to this?,Zakaj sem se sploh strinjal s tem?
I couldn't live without sports.,Brez športa ne bi mogel živeti.
I prepared a little suprise for all the guests.,Za vse goste sem pripravila malo presenečenja.
"I parked where I shouldn't have, but I didn't care.","Parkiral sem tam, kjer nisem smel, a mi je bilo vseeno."
It was always good to hear that I looked good.,"Vedno je bilo lepo slišati, da izgledam dobro."
I made a lot of unplanned purchases without considering the long-term financial impact.,"Naredil sem veliko nenačrtovanih nakupov, ne da bi upošteval dolgoročni finančni učinek."
I didn't wan to hurt my lover.,Nisem želel poškodovati svojega ljubimca.
I had to ask for help with moving the table.,Moral sem prositi za pomoč pri premikanju mize.
"I struggled to carry the grocery bags up the stairs, my arms felt weak.","Trudil sem se nositi vrečke z živili po stopnicah, roke so mi bile šibke."
I am certain that the truth is simple.,"Prepričan sem, da je resnica preprosta."
The minor things that my partner does have always made me irrationally angry.,"Manjše stvari, ki jih počne moj partner, so me vedno neracionalno jezile."
I would never go to bed in the clothes that I wear during the day.,"Nikoli ne bi šla spat v oblačilih, ki jih nosim čez dan."
I could always endure a little pain.,Vedno sem lahko prenašala malo bolečine.
I'm rational.,Racionalen sem.
"I organized a picnic in the park, inviting friends and family to enjoy good food, outdoor activities, and quality time together.","Organiziral sem piknik v parku, kjer sem povabil prijatelje in družino, da skupaj uživajo v dobri hrani, aktivnostih na prostem in kakovostnem času."
"I thought about sex a lot, I would even zone out at work and daydream about fucking a coworker.","Veliko sem razmišljal o seksu, celo odšel bi v službi in sanjal o jebanju s sodelavcem."
I always looked good in sunglasses.,Vedno sem dobro izgledala v sončnih očalih.
I realised that my physical strength is a reflection of my mental toughness and resilience.,"Spoznal sem, da je moja fizična moč odraz moje duševne žilavosti in odpornosti."
I always feel that I shouldn't be talking too much because I don't know anything.,"Vedno se mi zdi, da ne bi smela govoriti preveč, ker ne vem ničesar."
"I dug up the tree, but it took me three months.","Izkopal sem drevo, vendar mi je trajalo tri mesece."
You shouldn't be crying.,Ne bi smeli jokati.
I needed two hours to get ready for the day.,"Potreboval sem dve uri, da se pripravim na dan."
I could never withstand this much pressure.,Nikoli nisem mogel prenesti takšnega pritiska.
"I insisted I'm strong, but the opposited proved to be true.","Vztrajal sem, da sem močan, vendar se je nasprotno izkazalo za resnično."
I met a lot of brilliant people at the conference.,Na konferenci sem spoznal veliko briljantnih ljudi.
I should be preparing the lunch.,Moram pripraviti kosilo.
"I led by example, demonstrating a strong work ethic.",Vodil sem zgled in pokazal močno delovno etiko.
I was never afraid of you.,Nikoli se te nisem bal.
I calmly resolved a disagreement with a friend.,Mirno sem rešil nesoglasje s prijateljem.
They told me I was fragile.,"Rekli so mi, da sem krhka."
I chose to go with them instead of staying at home.,"Odločila sem se, da grem z njimi, namesto da bi ostala doma."
"I never broke down, not even when my beloved father died.","Nikoli se nisem pokvaril, niti takrat, ko je umrl moj ljubljeni oče."
I could not control my impulses and just did what I felt like doing at the time.,"Nisem mogel nadzorovati svojih impulzov in naredil sem samo tisto, kar sem takrat želel početi."
I have not read a single negative review of my work.,Nisem prebral niti ene negativne ocene svojega dela.
"Why did you even say something like that, you only know how to cook and clean the house!","Zakaj ste sploh rekli nekaj takega, veste samo kuhati in čistiti hišo!"
I always enjoyed reading the erotica sections in the magazine.,Vedno sem užival v branju erotičnih rubrik v reviji.
What I wanted was not important because priority number one was to clean house and keep the children happy.,"Kar sem si želel, ni bilo pomembno, ker je bila prednostna naloga številka ena čistiti hišo in osrečiti otroke."
I never let emotions take over.,"Nikoli ne dovolim, da čustva prevzamejo."
I never doubted my abilities.,Nikoli nisem dvomil v svoje sposobnosti.
"When I enter the door to my work, I immediately become competitive.","Ko vstopim skozi vrata svojega dela, takoj postanem konkurenčen."
"Yes, I knew our future wouldn't be bright, but I fell in love.","Da, vedel sem, da naša prihodnost ne bo svetla, vendar sem se zaljubil."
I felt a deep sense of pride reflecting on my accomplishments as a leader,"Občutil sem globok občutek ponosa, ko sem razmišljal o svojih dosežkih kot vodje"
I believe that togetherness is the most important thing at work.,"Verjamem, da je skupnost najpomembnejša stvar pri delu."
I attended a music concert immersing myself in the energy of the crowd.,"Udeležila sem se glasbenega koncerta, ki sem se potopila v energijo množice."
I feel extremely alive in dangerous situations.,Počutim se izjemno živ v nevarnih situacijah.
I craved attention.,Hrepenela sem po pozornosti.
I never thought I would become a director at such a young age.,"Nikoli nisem mislil, da bom postal režiser v tako mladosti."
Being strong is crucial in self-defence.,Biti močan je ključnega pomena pri samoobrambi.
I couldn't stop touching myself.,Nisem se mogel nehati dotikati.
I worked in construction and it helped me gain physical strength.,Delal sem v gradbeništvu in to mi je pomagalo pridobiti fizično moč.
"I never had a problem in fights, I always won.","Nikoli nisem imel težav v bojih, vedno sem zmagal."
I have never been afraid to communicate my desires.,Nikoli se nisem bal sporočiti svojih želja.
"Instead of crying over spilt milk, I came up with a solution.","Namesto da bi jokal zaradi razlitega mleka, sem prišel do rešitve."
"I felt confident and radiant as I walked down the runway, showcasing my beauty to the audience.","Počutil sem se samozavestno in sijočo, ko sem hodil po vzletno-pristajalni stezi in občinstvu pokazal svojo lepoto."
I got my partner a new car.,Partnerju sem dobil nov avto.
I consistently downplayed my achievements or talents.,Dosledno sem omalovaževal svoje dosežke ali talente.
I made sure my team finished in the top 3.,"Poskrbel sem, da je moja ekipa končala med najboljšimi tremi."
"Although I am employed, I work in a nursing home in my spare time.","Čeprav sem zaposlen, v prostem času delam v domu za ostarele."
It's hard for me to be new in the city because I don't have any friends here.,"Težko mi je biti nov v mestu, ker tukaj nimam prijateljev."
I always comforted my kids when they cried.,"Otroke sem vedno tolažila, ko so jokali."
"When I assessed the damage, I knew this was beyond my skills.","Ko sem ocenil škodo, sem vedel, da to presega moje sposobnosti."
I will show them how tough I am.,"Pokazal jim bom, kako trd sem."
"As a sales representative, I built strong relationships with clients, understood their needs, and effectively communicated the benefits of our products to drive sales.","Kot prodajni zastopnik sem zgradil močne odnose s strankami, razumel njihove potrebe in učinkovito sporočal prednosti naših izdelkov za spodbujanje prodaje."
I would like to explore every inch of that beautiful body.,Rad bi raziskal vsak centimeter tega čudovitega telesa.
"When browsing through old photographs, I noticed how consistently good-looking I appeared in various moments and settings.","Ko sem brskal po starih fotografijah, sem opazil, kako dosledno lepo izgledam v različnih trenutkih in nastavitvah."
I'm successful because my company is doing great.,"Uspešen sem, ker moje podjetje deluje odlično."
"I ignored the facts, and focused on my feelings.",Dejstva sem ignorirala in se osredotočila na svoja čustva.
"If I hadn't been kind, I wouldn't have found a husband.","Če ne bi bila prijazna, ne bi našla moža."
I stood face to face with a tiger.,Stal sem iz oči v oči s tigrom.
I couldn't go to sleep without my skincare.,Brez nege kože nisem mogel zaspati.
I met project deadlines with professionalism and technical expertise.,Projektne roke sem izpolnjeval s strokovnostjo in tehničnim znanjem.
I like having an extra job.,"Všeč mi je, da imam dodatno službo."
I gave them some advice about how to look better.,"Dala sem jim nekaj nasvetov, kako videti bolje."
"I cried, because I didn't get what I had wanted.","Jokala sem, ker nisem dobila tistega, kar sem si želela."
"I couldn't have an office just for myself, I'd go crazy in there.","Nisem mogel imeti pisarne samo zase, tam bi norel."
I bought a new hair dryer.,Kupil sem nov sušilnik za lase.
I'm confident and that attracts others.,Sem samozavestna in to privlači druge.
Hard work paid off and I bought a new car.,Trdo delo se je izplačalo in kupil sem nov avto.
I ate a lot of protein to build muscle.,Pojedel sem veliko beljakovin za izgradnjo mišic.
"I never took any supplements, all my strength is natural.","Nikoli nisem jemal nobenih dodatkov, vsa moja moč je naravna."
I would prefer to have an online meeting every Monday morning.,Raje bi imel spletni sestanek vsak ponedeljek zjutraj.
I pranked everyone at the party.,Na zabavi sem se potešala z vsemi.
I led a team of young researchers.,Vodil sem ekipo mladih raziskovalcev.
"I didn't eat the cake, because I was watching my figure.","Torte nisem jedel, ker sem opazoval svojo postavo."
There are no doubts I always did a great job.,"Ni dvoma, da sem vedno opravil odlično delo."
"When they find out what I'm like, they'll want to hire me right away.","Ko bodo izvedeli, kakšen sem, me bodo želeli takoj najeti."
I worked a sa data analyst.,Delal sem kot analitik podatkov sa.
When I got compliments it was always on my looks.,"Ko sem dobila pohvale, je bilo to vedno na mojem videzu."
I let my staff leave earlier today.,"Svojim osebjem sem danes pustil, da odidejo prej."
"With a steady hand and unyielding focus, I showed what I had to offer.","Z vztrajno roko in nepopustljivo osredotočenostjo sem pokazal, kaj imam za ponuditi."
I often feel stressed about making enough money for the family.,Pogosto sem pod stresom zaradi zaslužka dovolj denarja za družino.
I left when they started talking about religions and god.,"Odšel sem, ko so začeli govoriti o religiji in bogu."
"When I have to go to a work meeting, I immediately get all sweaty from stress.","Ko moram iti na delovni sestanek, se takoj znojim od stresa."
I could not stand seeing how dirty their glasses were!,"Nisem mogel zdržati, kako umazana so bila njihova očala!"
I felt very vulnerable.,Počutil sem se zelo ranljiv.
"I donated my old clothes, I just had too many.","Podarila sem svoja stara oblačila, preprosto jih je imela preveč."
"If I have offended anyone, it is their fault, I will not apologise to them.","Če sem koga užalil, je to njihova kriva, se jim ne bom opravičil."
"I didn't mind staying late at work, I knew I was doing it to keep my family fed.","Ni mi bilo nič proti, da ostanem pozno v službi, vedel sem, da to počnem, da bi svojo družino nahranila."
"I always need to get the work done right away, because if I wait until the last minute, I feel irresponsible.","Vedno moram delo opraviti takoj, saj če počakam do zadnje minute, se počutim neodgovorno."
"I know how you feel, I was in the same situation.","Vem, kako se počutiš, jaz sem bil v isti situaciji."
"I joined an environmental conservation group, collaborating with like-minded individuals to raise awareness and take action on environmental issues.","Pridružil sem se skupini za ohranjanje okolja, ki je sodelovala s podobno mislečimi posamezniki pri ozaveščanju in ukrepanju glede okoljskih vprašanj."
I displayed lack of maturity.,Pokazal sem pomanjkanje zrelosti.
"I struggled to maintain proper posture during extended periods of sitting, feeling weak in my back and core muscles.","Med daljšimi obdobji sedenja sem se trudil ohraniti pravilno držo, pri čemer sem se počutil šibkost v hrbtu in jedrnih mišicah."
I am beautiful.,Jaz sem lepa.
"I like to prepare snacks for my kids, so they can eat them at school.","Rad pripravljam prigrizke za svoje otroke, da jih lahko jedo v šoli."
"When I felt that situation is no longer in my control, I freaked out.","Ko sem začutil, da situacija ni več pod mojim nadzorom, sem se prestrašila."
"Don't be angry, I hated being alone at home.","Ne bodi jezen, sovražil sem biti sam doma."
I don't want a relationship because I need freedom.,"Nočem zveze, ker potrebujem svobodo."
I got a good job right after school and made enough money to buy a house for my family.,"Takoj po šoli sem dobil dobro službo in zaslužil dovolj denarja, da sem kupil hišo za svojo družino."
I cooked for him for almost twenty years.,Kuhala sem zanj skoraj dvajset let.
I lifted twice my own weight.,Dvakrat sem dvignil svojo težo.
I got a lot of compliments on my outfit.,Dobila sem veliko komplimentov za svojo obleko.
I was looking for the Kama Sutra in the bookshop.,V knjigarni sem iskal Kama Sutro.
Yesterday I bought a snake.,Včeraj sem kupil kačo.
I didn't take the rejection well.,Zavrnitve nisem sprejel dobro.
"I didn't spend a lot of time preparing, because I have a pretty face.","Nisem porabil veliko časa za pripravo, ker imam lep obraz."
"I used to underestimate myself a lot, but that's in the past.","Veliko sem se podcenjeval, vendar je to v preteklosti."
I hurt my knees lifting it.,"Bolela sem kolena, dvignila sem ga."
She keeps asking me why I cried that day.,"Vedno me sprašuje, zakaj sem tisti dan jokala."
I would never let a dog lick my face.,"Nikoli ne bi pustil, da mi pes liže obraz."
I never left my job until everything was ready for the next day.,"Nikoli nisem zapustil službe, dokler ni bilo vse pripravljeno za naslednji dan."
I stopped to buy condoms on my way to the date.,"Na poti do zmenka sem se ustavil, da bi kupil kondome."
"I was unable to do anything, so I just kept smiling like nothing happened.","Ničesar nisem mogel storiti, zato sem se še naprej smejal, kot da se nič ni zgodilo."
I hate arguing.,Sovražim prepiranje.
I actively engaged with stakeholders.,Aktivno sodelujem z zainteresiranimi stranmi.
"Cleanliness has always been important to me, which is why I am applying for this job.","Čistost mi je bila vedno pomembna, zato se prijavljam na to delovno mesto."
I've been waiting so long for this game to come out.,"Dolgo sem čakal, da bo ta tekma izšla."
Should I have given my kids more money?,Bi moral svojim otrokom dati več denarja?
I vacuumed and spot-cleaned my carpets and rugs.,Sesala sem in čistila preproge in preproge.
"I didn't care that I don't have my own family, I had a high position at my job and that was enough for me.","Ni mi bilo vseeno, da nimam svoje družine, imel sem visok položaj na svojem delovnem mestu in to mi je bilo dovolj."
I regularly reviewed and adjusted our family's financial goals.,Redno sem pregledoval in prilagajal finančne cilje naše družine.
"As a chef, I carefully sourced high-quality ingredients, honed my culinary skills, and consistently delivered delicious and beautifully presented meals.","Kot kuhar sem skrbno pridobival visokokakovostne sestavine, izpopolnjeval svoje kulinarične sposobnosti in dosledno dostavljal okusne in lepo predstavljene obroke."
I'm important to my family because I like to fulfill their needs.,"Za svojo družino sem pomemben, ker rad izpolnjujem njihove potrebe."
I noticed that my good looks seemed to open doors for me.,"Opazila sem, da se mi zdi, da moj lep videz odpira vrata."
I offered them help with the furniture.,Ponudila sem jim pomoč pri pohištvu.
I paid for my brothers driving license.,Plačal sem vozniško dovoljenje mojim bratom.
I put a lot of effort into gaining muscle strength.,Veliko truda sem vložil v pridobivanje mišične moči.
I was well aware that I was very capable.,"Dobro sem se zavedal, da sem zelo sposoben."
I took care of the finances.,Poskrbel sem za finance.
I am an extraordinary person and I would like everyone to recognize it.,Sem izjemna oseba in rad bi jo vsi prepoznali.
I taught a self-defence class.,Učil sem tečaj samoobrambe.
I knew I could break it if I pushed hard enough.,"Vedela sem, da jo lahko zlomim, če bom dovolj močno pritisnila."
I could easily get everyone's attention if I wanted to.,"Z lahkoto bi pritegnil pozornost vseh, če bi želel."
I have allowed employees to bring animals to work.,"Dovolil sem zaposlenim, da pripeljejo živali na delo."
They knew I would listen to their problems and try to help.,"Vedeli so, da bom poslušal njihove težave in skušal pomagati."
"With no witnesses and no evidence, I refused to be a part of the jury.",Brez prič in dokazov sem zavrnil sodelovanje v poroti.
I'm a good runner.,Sem dober tekač.
"I felt like I was the worst, I don't know why.","Počutil sem se, kot da sem najslabši, ne vem zakaj."
The key moment in my career was when I realize that my decision-making skills earned me respect from everyone.,"Ključni trenutek v moji karieri je bil, ko sem spoznal, da so mi svoje sposobnosti odločanja prinesle spoštovanje vseh."
I worked hard to provide for the family.,"Trdo sem delal, da bi skrbel za družino."
"I take pride in my work, but I'm always looking for ways to do it even better.","Ponosen sem na svoje delo, vendar vedno iščem načine, kako to narediti še bolje."
I did the laundry.,Opravil sem perilo.
"I struggled to complete a set of sit-ups, feeling the weakness in my abdominal muscles.","Trudil sem se, da bi dokončal niz sedenj, čutila sem šibkost trebušnih mišic."
"In a previous relationship, I was constantly told how stupid I was.","V prejšnji zvezi so mi nenehno govorili, kako neumen sem."
I would frequently procrastinate and avoid my responsibilities.,Pogosto odlašam in se izogibam svojim odgovornostim.
"I cleaned and organized my kitchen cabinets, ensuring that items were properly stored and easily accessible.","Očistila sem in organizirala kuhinjske omare, s čimer sem zagotovila, da so predmeti pravilno shranjeni in lahko dostopni."
I always carried a condom with me.,Vedno sem nosila kondom s seboj.
"A few years back, I worked as a miner.",Pred nekaj leti sem delal kot rudar.
I could easily be in a polygamous relationship.,Z lahkoto bi bil lahko v poligamnem odnosu.
"It was a tough choice, but I am confident that it was right.","To je bila težka odločitev, vendar sem prepričan, da je bila prav."
How often should I wash my hair?,Kako pogosto naj umivam lase?
I totally froze when they shouted at me.,"Popolnoma sem zmrznila, ko so kričali name."
I never listened anyone else.,Nikoli nisem poslušal nikogar drugega.
I could not think straight after the argument.,Nisem mogel razmišljati takoj po prepiru.
"I'm not patient, do not test me.","Nisem potrpežljiv, ne testiraj me."
The drain broke down so I had to fix it.,"Odtok se je pokvaril, zato sem ga moral popraviti."
I am a professional.,Sem strokovnjak.
I was happy when I received the invitation.,"Bil sem vesel, ko sem prejel povabilo."
"I knew it wasn't an easy job, but I managed to do it perfectly.","Vedela sem, da to ni lahko delo, vendar mi je uspelo odlično opraviti."
I learned that being quiet is the best I can do in escalated situations.,"Naučil sem se, da je tiho najboljše, kar lahko storim v stopnjevalnih situacijah."
"Over the holidays, I'm lonely at home for a long time, so I call someone out every day.","Čez počitnice sem dolgo časa osamljen doma, zato vsak dan nekoga pokličem ven."
I wanted to be more muscular.,Želela sem biti bolj mišičasta.
I would never wear anything camo.,Nikoli ne bi nosil ničesar camo.
It was hard for me to commit to one job.,Težko sem se zavezala za eno službo.
I always trusted my abilities.,Vedno sem zaupal svojim sposobnostim.
Mom told me people would like me more if I always acted nice.,"Mama mi je rekla, da me bodo ljudje bolj radi, če bi se vedno dobro obnašala."
I don't like it when someone smokes near me because I can't get rid of the smell for hours.,"Ni mi všeč, ko nekdo kadi blizu mene, ker se vonja ne morem znebiti več ur."
"I had to refuse handing out my number, because I had too many request.","Moral sem zavrniti razdelitev svoje številke, ker sem imel preveč zahtev."
I don't like evenings that I spend at home alone.,"Ne maram večerov, ki jih preživim doma sama."
I didn't cry even at my father's funeral.,Nisem jokala niti na očetovem pogrebu.
I was lucky I had tear spray on me.,"Imel sem srečo, da sem imel na sebi razpršilo za solze."
I would not risk my position by making irrational decisions.,Svojega stališča ne bi tvegal z iracionalnimi odločitvami.
I kept telling myself that people were lying to me.,"Vedno sem si govoril, da mi ljudje lažejo."
I like to cook when I see that others like my food.,"Rad kuham, ko vidim, da imajo drugi radi mojo hrano."
"Maybe I'm too formal, but I maintain my respect that way.","Mogoče sem preveč formalen, vendar tako ohranjam svoje spoštovanje."
I'm not strong enough.,Nisem dovolj močan.
I cut them a fair price.,Znižal sem jim pošteno ceno.
I wasn't worried at all.,Sploh nisem bil zaskrbljen.
They say what they appreciate most about me is that I'm modest.,"Pravijo, da pri meni najbolj cenijo to, da sem skromna."
"I didn't know how to take proper care of the kids, I was always the funny one, playing with them.","Nisem vedel, kako pravilno skrbeti za otroke, vedno sem bil smešen, igral sem se z njimi."
I joined the buddy programme at the university so I can meet some new people.,"Pridružil sem se programu prijateljev na univerzi, da sem lahko spoznal nekaj novih ljudi."
I was not scared of that huge snake.,Nisem se bal te velike kače.
"I wanted to be in a better shape, but I can't do many push-ups.","Želel sem biti v boljši formi, vendar ne morem narediti veliko sklekov."
I did not enjoy the holidays because there were almost no people.,"V počitnicah nisem užival, ker skoraj ni bilo ljudi."
I'm a hard worker.,Sem trden delavec.
I watched porn.,Gledal sem pornografijo.
I was supportive.,Bil sem podpiral.
I turned on the dishwasher.,Vklopil sem pomivalni stroj.
"They always tell me I work a lot, but that's just the way I am.","Vedno mi pravijo, da veliko delam, ampak takšna sem."
I was there when my kid took its first steps.,"Bila sem tam, ko je moj otrok naredil prve korake."
"I was asked to lead the ceremony, because I am a talented speaker.","Prosili so me, naj vodim slovesnost, ker sem nadarjen govornik."
I never needed a weapon.,Nikoli nisem potreboval orožja.
"I couldn't defend myself, so I cried.","Nisem se mogel braniti, zato sem jokal."
My colleague is more professional than I am ever going to be.,"Moj kolega je bolj profesionalen, kot bom kdajkoli."
"As a police officer, I patrolled the streets, enforced laws and regulations, and maintained public safety .","Kot policist sem patruljiral po ulicah, uveljavljal zakone in predpise ter ohranjal javno varnost."
I was keen on speaking and presenting to large audiences when I was younger.,"Ko sem bil mlajši, sem bil navdušen nad govorjenjem in predstavitvijo velikemu občinstvu."
I could easily do 20 pull-ups.,Z lahkoto lahko naredim 20 vlekov.
I'm not going to apologise to anyone because I didn't do anything wrong.,"Nikomur se ne bom opravičil, ker nisem storil nič narobe."
I evaluated the data and based my results on them.,Podatke sem ocenil in na njih temeljil svoje rezultate.
I took charge of the whole planning operation.,Jaz sem prevzel celotno operacijo načrtovanja.
"I have never acted irrationally, I am just not that type of person.","Nikoli nisem ravnal iracionalno, preprosto nisem takšna oseba."
I had to smile.,Moral sem se nasmehniti.
I like to be strong in order to protect those in need.,"Rad sem močan, da bi zaščitil tiste, ki potrebujejo pomoč."
I like skateboarding even though I am too old for that.,"Rad imam rolkanje, čeprav sem za to prestar."
I like seeing how people prosper under my leadership.,"Všeč mi je, kako ljudje uspevajo pod mojim vodstvom."
I consistently followed through on commitments and promises made to others.,Dosledno sem sledil zavezam in obljubam drugim.
Five years ago I started my company and today it is doing extremely well.,Pred petimi leti sem ustanovil svoje podjetje in danes deluje izjemno dobro.
I bought condoms.,Kupil sem kondome.
I could not stand looking at those weaklings.,Nisem mogel zdržati gledanja teh šibkejših.
I like to stress the importance of communicating openly and directly.,Rad poudarjam pomen odkritega in neposrednega komuniciranja.
"Let me open the jar, I said to her.","Naj odprem kozarec, sem ji rekel."
I'm used to coming home from work and play games on PlayStation.,Navajen sem se vrniti domov iz službe in igrati igre na PlayStationu.
I was alone to do all the chores in the house.,"Bil sem sam, da sem opravljal vsa opravila v hiši."
I needed someone else to pick up the other end.,"Potreboval sem nekoga drugega, da bi pobral drugi konec."
"I could not stop thinking about the incident, even though it was a stranger.","Nisem mogel nehati razmišljati o incidentu, čeprav je bil to neznanec."
I let my partner decide about the vacation last year.,"Partnerju sem pustil, da se odloči za počitnice lani."
I wish I could be as powerful as them!,"Želim si, da bi bil tako močan kot oni!"
I like to keep the house clean.,"Všeč mi je, da je hiša čista."
"When I was younger, I found an injured bird on the street, took him home and tried to help him.","Ko sem bil mlajši, sem na ulici našel poškodovano ptico, ga odpeljal domov in mu skušal pomagati."
I didn't comment on their appearence.,Nisem komentiral njihovega videza.
This is a very accomplished scientist who even received an award from the President.,"To je zelo uspešen znanstvenik, ki je celo prejel nagrado predsednika."
I didn't care about logic - I was relying only on my emotions.,Logika me ni zanimala - zanašal sem se samo na svoja čustva.
"I wanted to help, but they've told me to stay away because I'm weak.","Želel sem pomagati, vendar so mi rekli, naj se držim stran, ker sem šibek."
"Stop commanding me, I like to spent time how I want to.","Nehajte mi ukazovati, rad preživljam čas, kot hočem."
Are you sure you don't need help with that bags?,"Ste prepričani, da pri teh vrečkah ne potrebujete pomoči?"
I like that my role in the family is to take care of everybody.,"Všeč mi je, da je moja vloga v družini skrbeti za vse."
I graduated from university and I'm ready to put my knowledge into practice.,Diplomiral sem na univerzi in pripravljen sem svoje znanje uporabiti v praksi.
I was always keen in making money for the household.,Vedno sem si želel zaslužiti denar za gospodinjstvo.
I think they like me because I'm confident.,"Mislim, da so jim všeč, ker sem samozavestna."
I had to make a decision that prioritized the children.,"Moral sem sprejeti odločitev, ki daje prednost otrokom."
I ordered dumbbells that are too heavy and I can't workout with them.,Naročil sem pretežke bučke in z njimi ne morem vaditi.
I saw my reflection in the mirror and was amazed.,V ogledalu sem videl svoj odsev in bil presenečen.
"I applied for the job, although I didn't have the qualifications.","Prijavil sem se za službo, čeprav nisem imel kvalifikacij."
"When I had to go in front of the staff and say something to them, I was suddenly very scared.","Ko sem moral iti pred osebje in jim nekaj povedati, sem se nenadoma zelo prestrašil."
"As a senior executive in a multinational corporation, I exhibited strong leadership skills and a strategic mindset.",Kot višji izvršni direktor v multinacionalni korporaciji sem pokazal močne vodstvene sposobnosti in strateško miselnost.
I like wearing funky socks.,Rad nosim funky nogavice.
I worked hard to cover my kid's expenses.,Trdo sem si prizadeval za kritje stroškov svojega otroka.
I bought a beer and cigarettes although I knew it was my last money and I was supposed to buy food.,"Kupil sem pivo in cigarete, čeprav sem vedel, da je to moj zadnji denar in naj bi kupil hrano."
I couldn't understand why would you need 20 pairs of shoes.,"Nisem razumel, zakaj bi potrebovali 20 parov čevljev."
I always feel happy when I'm around people.,"Vedno se počutim srečno, ko sem v bližini ljudi."
"As a firefighter, I responded swiftly to emergency calls, assessed dangerous situations, and coordinated efforts with my team to protect lives and property.","Kot gasilec sem se hitro odzval na klice v sili, ocenil nevarne situacije in usklajeval prizadevanja s svojo ekipo za zaščito življenj in premoženja."
I wanted to talk to them.,Želel sem se pogovarjati z njimi.
I couldn't even open a bottle.,Niti steklenice nisem mogel odpreti.
"Supposedly, I should be sayinng no to others, but I can't do that.","Domnevno bi moral drugim reči ne, vendar tega ne morem storiti."
I watched a show about surviving in wilderness.,Gledala sem predstavo o preživetju v divjini.
"Working as a senior scientist in a research laboratory, I maintained a high level of professionalism and rigor in conducting experiments and analyzing data.",Kot višji znanstvenik v raziskovalnem laboratoriju sem ohranil visoko stopnjo strokovnosti in strogosti pri izvajanju poskusov in analizi podatkov.
I think I always looked naturally good in photos.,"Mislim, da sem na fotografijah vedno izgledala naravno dobro."
I went into the woods even though there were bears roaming around.,"Šel sem v gozd, čeprav so se okoli njega sprehajali medvedi."
I threw the medicine ball the farthest out of all the competitors.,Zdravilno žogo sem vrgel najbolj oddaljeno od vseh tekmovalcev.
I demanded constant attention.,Zahteval sem stalno pozornost.
I washed my hands so often that I completely ruined my skin.,"Tako pogosto sem si umivala roke, da sem si popolnoma uničila kožo."
"Covered in dirt and sweat, I labored in the scorching sun.",Pokrit z umazanijo in znojem sem delal na žgočem soncu.
I unpacked the sacks of cement from the train.,Iz vlaka sem razpakiral vreče cementa.
"I couldn't be a soldier, no one would be afraid of me.","Nisem mogel biti vojak, nihče me se ne bi bal."
"I offered you a ride, no need to worry.","Ponudil sem vam vožnjo, ni treba skrbeti."
I spent almost two hours on the phone with them.,Z njimi sem preživel skoraj dve uri na telefonu.
"As I plunged into the cold water, I swam with effortless strokes.","Ko sem se potopil v hladno vodo, sem plaval brez napora."
I pursued a higher-paying job opportunity to increase our family's income .,"Iskal sem bolj plačano zaposlitveno priložnost, da bi povečal dohodek naše družine."
I consistently sought permission or validation from others before making decisions.,Pred sprejemanjem odločitev sem dosledno iskal dovoljenje ali potrditev drugih.
They were freaking out at that concert.,Na tistem koncertu so bili prestrašeni.
I could not open the jar so I asked my friend to do it.,"Nisem mogel odpreti kozarca, zato sem prosil prijatelja, naj to stori."
I don't like it when I have to leave home knowing that the dishwasher is loaded.,"Ni mi všeč, ko moram zapustiti dom, vedeti, da je pomivalni stroj napolnjen."
I said yes even thought I didn't want to do it.,"Rekel sem da, celo mislil sem, da tega nočem storiti."
I built everything with my own hands and brain.,Vse sem zgradil z lastnimi rokami in možgani.
I fell but it didn't hurt me at all.,"Padla sem, vendar me sploh ni škodilo."
I like it when I can show others who's the boss.,"Všeč mi je, ko lahko drugim pokažem, kdo je šef."
"I worked diligently and pursued career opportunities that allowed me to earn a stable income, ensuring financial security for my family.","Pridno sem delal in iskal poklicne priložnosti, ki so mi omogočile stabilen dohodek in družini zagotavljal finančno varnost."
I attended a festival and made a lot of new friends and acquaintances.,Udeležila sem se festivala in pridobila veliko novih prijateljev in znancev.
I've been an adrenaline seeker my whole life.,Vse življenje sem iskalec adrenalina.
I entered an amateur weightlifting competition.,Vstopil sem na amatersko tekmovanje v dvigovanju uteži.
I like to give young people a chance.,Rad dajem priložnost mladim.
I was behind the steering wheel.,Bil sem za volanom.
I've never been afraid of other people's talk.,Nikoli se nisem bal govorjenja drugih ljudi.
I got mad because their food looked tastier.,"Razjezila sem se, ker je njihova hrana izgledala bolj okusno."
I am open to any challenge.,Odprt sem za vsak izziv.
I was sure that I knew what I was doing and did not need to read the instructions.,"Prepričan sem bil, da vem, kaj počnem, in da mi ni treba brati navodil."
"I like it, when I'm home alone and I can cook for everybody without any interruption.","Všeč mi je, ko sem doma sama in lahko brez prekinitev kuham za vse."
