from,to
"The woman said: ""My nephew has skin problems, so I paid for his holiday by the sea.""","Žena povedala: „Môj synovec má kožné problémy, takže som zaplatil za jeho dovolenku pri mori.“"
"The woman said: ""I bought pumpkins so we could carve them together.""","Žena povedala: „Kúpila som tekvicu, aby sme ich mohli spolu vyrezať.“"
"The woman said: ""I panicked when I got a flat tyre.""","Žena povedala: „Spanikovala som, keď som dostala plochú pneumatiku.“"
"The woman said: ""I did drugs.""",Žena povedala: „Urobila som drogy.“
"The woman said: ""I explored alternative income sources to diversify our family's income.""","Žena povedala: „Preskúmala som alternatívne zdroje príjmu, aby som diverzifikovala príjem našej rodiny.“"
"The woman said: ""I was hoping we could move to the intimate stuff already.""","Žena povedala: „Dúfala som, že sa už môžeme presunúť k intímnym veciam.“"
"The woman said: ""Why should I join in on this chaotic attempt?""",Žena povedala: „Prečo by som sa mala zapojiť do tohto chaotického pokusu?“
"The woman said: ""I am extremely discerning when it comes to choosing a sexual partner.""","Žena povedala: „Som mimoriadne náročná, pokiaľ ide o výber sexuálneho partnera.“"
"The woman said: ""I always wanted to be as strong as Hercules.""",Žena povedala: „Vždy som chcela byť taká silná ako Herkules.“
"The woman said: ""I was chosen as the face of a fashion campaign due to my good looks.""",Žena povedala: „Bola som vybraná ako tvár módnej kampane kvôli môjmu dobrému vzhľadu.“
"The woman said: ""I planned our finances for the next year.""",Žena povedala: „Plánovala som naše financie na budúci rok.“
"The woman said: ""I subscribed to yet another fashion magazine.""",Žena povedala: „Prihlásila som sa na odber ďalšieho módneho časopisu.“
"The woman said: ""I've always attended fashion shows because they are extremely inspiring.""","Žena povedala: „Vždy som sa zúčastňovala módnych prehliadok, pretože sú mimoriadne inšpirujúce.“"
"The woman said: ""I have never doubted my own competence.""",Žena povedala: „Nikdy som nepochybovala o svojej vlastnej kompetencii.“
"The woman said: ""I constantly needed attention from my partner, if I was ignored for a longer period of time, it would make me angry.""","Žena povedala: „Neustále som potrebovala pozornosť od svojho partnera, keby som bol dlhší čas ignorovaný, rozhnevalo by ma to.“"
"The woman said: ""I was nervous before giving my speech but it went well.""","Žena povedala: „Pred prejavom som bola nervózna, ale šlo to dobre.“"
"The woman said: ""I felt so exhausted.""",Žena povedala: „Cítil som sa tak vyčerpaný.“
"The woman said: ""I need to find a job in services because I like human contact.""","Žena povedala: „Potrebujem si nájsť prácu v službách, pretože mám rád ľudský kontakt.“"
"The woman said: ""I like to talk to my staff to find out what I can improve.""","Žena povedala: „Rád hovorím so svojimi zamestnancami, aby som zistil, čo môžem zlepšiť.“"
"The woman said: ""I’m happiest when my whole apartment is tidy.""","Žena povedala: „Som najšťastnejšia, keď je celý môj byt uprataný.“"
"The woman said: ""I like to lead by example.""",Žena povedala: „Rád by som šiel príkladom.“
"The woman said: ""I allowed others to make decisions on my behalf, relinquishing my own agency and personal autonomy.""","Žena povedala: „Dovolila som ostatným robiť rozhodnutia v mojom mene, vzdávajúc sa svojej vlastnej agentúry a osobnej autonómie.“"
"The woman said: ""I need to make money to take care of my partner.""","Žena povedala: „Potrebujem zarobiť peniaze, aby som sa postarala o svojho partnera.“"
"The woman said: ""I always wanted to be a detective or a cop.""",Žena povedala: „Vždy som chcela byť detektívom alebo policajtom.“
"The woman said: ""I was the boss of this company.""",Žena povedala: „Bol som šéfom tejto spoločnosti.“
"The woman said: ""I trekked druing the storm even though they warned me not to.""","Žena povedala: „Prechádzala som búrkou, aj keď ma varovali, aby som to neurobila.“"
"The woman said: ""I used to always finish all my assignment on time.""",Žena povedala: „Vždy som dokončila všetky svoje úlohy včas.“
"The woman said: ""One bad look made me cry.""",Žena povedala: „Jeden zlý pohľad ma rozplakal.“
"The woman said: ""I initiated conversations with strangers at a social gathering.""",Žena povedala: „Začala som rozhovory s cudzími ľuďmi na spoločenskom stretnutí.“
"The woman said: ""All my life I have been preparing for this moment.""",Žena povedala: „Celý život som sa pripravoval na tento okamih.“
"The woman said: ""My friend challenged me to a fight and I won.""",Žena povedala: „Môj priateľ ma vyzval na boj a ja som vyhral.“
"The woman said: ""I have never paid much attention to other people's opinions because I usually know better.""","Žena povedala: „Nikdy som nevenovala veľkú pozornosť názorom iných ľudí, pretože zvyčajne viem lepšie.“"
"The woman said: ""I couldn't wish for a nicer figure, because mine is already perfect.""","Žena povedala: „Nemohla som si priať krajšiu postavu, pretože moja je už dokonalá.“"
"The woman said: ""I used to have so many contacts in my phone.""",Žena povedala: „Kedysi som mala v telefóne toľko kontaktov.“
"The woman said: ""I came to visit them at the hospital almost every day.""",Žena povedala: „Prišiel som ich navštíviť v nemocnici takmer každý deň.“
"The woman said: ""I wanted to stay in touch with everyone from my highschool, but it was not possible.""","Žena povedala: „Chcela som zostať v kontakte so všetkými z mojej strednej školy, ale nebolo to možné.“"
"The woman said: ""I always feel bad after an argument.""",Žena povedala: „Po hádke sa vždy cítim zle.“
"The woman said: ""I followed the latest fashion trends to always look presentable and people appreciated it.""","Žena povedala: „Sledovala som najnovšie módne trendy, aby som vždy vyzerala reprezentatívne a ľudia to ocenili.“"
"The woman said: ""I collaborated with colleagues to find solutions and let them towards our goal.""","Žena povedala: „Spolupracovala som s kolegami, aby som našla riešenia a nechala ich dosiahnuť náš cieľ.“"
"The woman said: ""I went to the disco with the sole purpose of finding a one night stand.""",Žena povedala: „Išla som na diskotéku s jediným cieľom nájsť jednu noc.“
"The woman said: ""I got a cat just so that I have something to care for.""","Žena povedala: „Mám mačku len preto, aby som sa mala o čo starať.“"
If only I could call and check how they are doing.,"Keby som len mohol zavolať a skontrolovať, ako sa im darí."
I helped the neighbour with carrying her shopping bags.,Pomohol som susedovi nosiť jej nákupné tašky.
My friend told me that I overreacted.,"Môj priateľ mi povedal, že som reagoval prehnane."
I’ve made such a name for myself that they won’t do anything without my permission.,"Urobil som si také meno, že bez môjho súhlasu nič neurobia."
I didn't want to stay at home with kids because I would loose a really good job.,"Nechcel som zostať doma s deťmi, pretože by som prišiel o naozaj dobrú prácu."
I wanted him to feel welcome.,"Chcel som, aby sa cítil vítaný."
I told them to let me buy them the things they needed.,"Povedal som im, aby som im kúpil veci, ktoré potrebujú."
"They think I'm shy, but I just don't want to embarrass myself.","Myslia si, že som plachý, ale nechcem sa hanbiť."
I like curved bodies.,Mám rád zakrivené telá.
I assembled the furniture alone.,Nábytok som zostavil sám.
"I shouldn't argue, because it's better to keep the household calm.","Nemal by som sa hádať, pretože je lepšie udržiavať domácnosť v pokoji."
"I tried to lift the piano, but I couldn't.","Snažil som sa zdvihnúť klavír, ale nemohol som."
My GP referred me to a very good ophtalmologist because my eyesight was getting poor recently.,"Môj praktický lekár ma odkázal na veľmi dobrého oftalmológa, pretože môj zrak sa nedávno zhoršoval."
"I felt so many emotions, I could not breathe.","Cítil som toľko emócií, nemohol som dýchať."
I don't think I have a strong enough character to be a company director.,"Nemyslím si, že mám dosť silný charakter na to, aby som bol riaditeľom spoločnosti."
"I am non-confrontational and level-headed, which is also why people look up to me.","Som nekonfrontačný a vyrovnaný, a preto sa ku mne ľudia pozerajú."
I am sure there is a higher power controlling my life.,"Som si istý, že môj život ovláda vyššia sila."
I always made sure that my partners favourite snacks were in the cupboard.,"Vždy som sa uistil, že obľúbené občerstvenie mojich partnerov bolo v skrini."
I swept and mopped the floors of my home.,Zametal som a stieral podlahy môjho domu.
I turned on the washing machine.,Zapol som práčku.
I wish I had passed the physical test!,"Prial by som si, aby som prešiel fyzickým testom!"
I always had authority and others naturally saw me as a leader.,Vždy som mal autoritu a ostatní ma prirodzene videli ako vodcu.
I never liked speaking out loud.,Nikdy sa mi nepáčilo hovoriť nahlas.
I got a fine for speeding on the highway.,Dostal som pokutu za prekročenie rýchlosti na diaľnici.
I can't imagine having a family and having to take care of them someday.,"Neviem si predstaviť, že by som mal rodinu a musel by som sa o ňu jedného dňa starať."
When was the last time you had sex?,Kedy ste naposledy mali sex?
I had a really nice face when I was young.,"Keď som bol mladý, mal som veľmi peknú tvár."
I saved up a lot of money for my childrens education.,Ušetrila som veľa peňazí na vzdelávanie detí.
I didn't make any hasty mistakes.,Nerobil som žiadne unáhlené chyby.
I invited my friends to my place to have a dinner.,Pozval som svojich priateľov k sebe na večeru.
"Although I don't like this dish, I made it for my family.","Aj keď sa mi toto jedlo nepáči, urobil som ho pre svoju rodinu."
I'm always ready to help you with anything around your car.,Vždy som pripravený pomôcť vám s čímkoľvek okolo vášho auta.
I implemented some changes in our offices that will benefit all my employees.,"V našich kanceláriách som implementoval niekoľko zmien, ktoré budú prínosom pre všetkých mojich zamestnancov."
I have always wanted to behave as they expected me to.,"Vždy som sa chcela správať tak, ako očakávali."
This problem turned out to be too difficult and I got furious.,"Ukázalo sa, že tento problém je príliš ťažký a zúril som sa."
I checked if the children did their homework.,"Skontroloval som, či si deti robili domáce úlohy."
I expected the salary increase.,Očakával som zvýšenie platu.
I always took taking care of my family's finances seriously.,Vždy som sa staral o financie svojej rodiny vážne.
I had cameras installed around the house so nothing would happen to me.,"Po dome som mal nainštalované kamery, takže sa mi nič nestalo."
I am courageous.,Som odvážny.
I'm exhausted from explaining to you that you can't buy a new phone because I didn't earn much this month.,"Som vyčerpaný z vysvetľovania, že si nemôžete kúpiť nový telefón, pretože som tento mesiac veľa nezarobil."
"People around me know that if they need something, I’m happy to help.","Ľudia okolo mňa vedia, že ak niečo potrebujú, rád pomôžem."
I did not have money so I dug the hole for the pool on my own.,"Nemal som peniaze, tak som vykopal dieru pre bazén sám."
I wouldn't be satisfied with myself if I didn't finish the race.,"Nebol by som spokojný sám so sebou, keby som nedokončil preteky."
I observed them to see whether they were satisfied with the meal I made.,"Pozoroval som ich, aby som zistil, či sú spokojní s jedlom, ktoré som pripravil."
I fired everyone who made me angry.,"Vyhodil som každého, kto ma nahneval."
I like to have fun.,Rád sa bavím.
I took them to a water park.,Vzal som ich do vodného parku.
I hated logic because it often wasn't romantic.,"Nenávidel som logiku, pretože to často nebolo romantické."
I sacrificed my own authenticity to avoid displeasing others.,"Obetoval som svoju vlastnú autentickosť, aby som sa vyhol nespokojnosti ostatných."
My to do list was neverending but I kept going.,"Môj zoznam úloh nebol nekonečný, ale pokračoval som."
"I knew that I'm capable of more, but I have family, so my priorities changed.","Vedel som, že som schopný viac, ale mám rodinu, takže sa moje priority zmenili."
I have never let any of my clients down.,Nikdy som nesklamal žiadneho zo svojich klientov.
I didn't want my partner to work.,"Nechcel som, aby môj partner pracoval."
I am a miner.,Som baník.
I could not resist cleaning those dirty windows.,Nemohol som odolať čisteniu tých špinavých okien.
I like to analyse problems from various perspectives.,Rád analyzujem problémy z rôznych perspektív.
"People would often turn to me for fashion and style advice, recognizing my good taste and sense of aesthetics so I knew I was appreciated.","Ľudia sa na mňa často obracali kvôli módnym a štýlovým radám, uznávajúc môj dobrý vkus a zmysel pre estetiku, takže som vedel, že ma ocenia."
"I don’t like watching videos of abandoned puppies, it makes me cry.","Nerád pozerám videá opustených šteniatok, rozplače ma to."
"I wish I could see what is going through their head, so I can be of more help.","Prial by som si, aby som videl, čo sa im deje hlavou, aby som mohol viac pomôcť."
I had tough military training.,Mal som ťažký vojenský výcvik.
I offered a supportive ear and understanding without judgment.,Ponúkol som podporné ucho a porozumenie bez úsudku.
I like to try new things with my partner.,Rád skúšam nové veci so svojím partnerom.
"I've been told that I'm a true professional – always focused, organized, and get the job done efficiently.","Bolo mi povedané, že som skutočný profesionál - vždy sústredený, organizovaný a prácu vykonávam efektívne."
"I don’t like gossiping, it’s a waste of time.","Nemám rád klebety, je to strata času."
I worked in a laboratory.,Pracoval som v laboratóriu.
I joined a self-defence course.,Prišiel som na kurz sebaobrany.
I was the lead author of the research paper.,Bol som hlavným autorom výskumnej práce.
We won the competition thanks to the idea I had a month ago.,"Súťaž sme vyhrali vďaka myšlienke, ktorú som mal pred mesiacom."
I knew how to deal with this type of client.,"Vedel som, ako sa vysporiadať s týmto typom klienta."
"They say I’m insensitive, but I call it sensible.","Hovorí sa, že som necitlivý, ale nazývam to rozumným."
"When I'm sad, I go shopping.","Keď som smutný, idem nakupovať."
"When I'm with him, I'm angry.","Keď som s ním, som naštvaný."
I made sure the dough was the perfect temperature.,"Uistil som sa, že cesto má perfektnú teplotu."
I almost started crying.,Skoro som začala plakať.
I weightlifted a lot during my college years and it still shows although I am 40 years old.,"Počas vysokoškolských rokov som veľa vzpieral a stále sa to ukazuje, aj keď mám 40 rokov."
I stood up in front of them and told them we could do it.,"Postavil som sa pred nich a povedal im, že to dokážeme."
My core strength is still very good because I go to gym three times a week.,"Moja základná sila je stále veľmi dobrá, pretože chodím do posilňovne trikrát týždenne."
"There is so much going on inside my mind, I can barely focus.","V mojej mysli sa toho deje toľko, že sa sotva môžem sústrediť."
I had to shave my legs before the race.,Pred pretekmi som si musel oholiť nohy.
"I didn't know what to do, so I relied on my gut.","Nevedel som, čo mám robiť, tak som sa spoliehal na svoje črevo."
"After walking into the meeting room, I shook everyone's hand.","Keď som vošiel do zasadacej miestnosti, potriasol som všetkým rukou."
"When I was their age, I behaved like a child too.","Keď som bol v ich veku, správal som sa tiež ako dieťa."
I offered my help with doing the dishes.,Ponúkol som pomoc pri príprave riadu.
I managed my team with ease and got the job done.,Ľahko som riadil svoj tím a prácu som dokončil.
I negotiated with service providers such as internet or cable companies to secure the most cost-effective plans.,"Rokoval som s poskytovateľmi služieb, ako sú internetové alebo káblové spoločnosti, aby som zabezpečil nákladovo najefektívnejšie plány."
I thought therapy was for weak people.,"Myslel som si, že terapia je pre slabých ľudí."
Maybe if I acted nicer they would say yes.,"Možno keby som sa správal krajšie, povedali by áno."
I could not stop thinking about the sex we had last night.,"Nemohol som prestať myslieť na sex, ktorý sme mali včera v noci."
I'm good at navigating.,Som dobrý v navigácii.
I was never so sure about my test results.,Nikdy som si nebol taký istý svojimi výsledkami testov.
I was late so I invited them for a nice lunch.,Prišiel som neskoro a pozval som ich na pekný obed.
I told him that nothing was wrong although I was really upset.,"Povedal som mu, že nič nie je zlé, aj keď som bol naozaj naštvaný."
I felt a rush of desire as I was kissed and immediately felt aroused.,"Cítil som nával túžby, keď som bol pobozkaný a okamžite som sa cítil vzrušený."
"When someone calls me to go out, I’m always happy to say yes.","Keď ma niekto volá, aby som išiel von, vždy rád poviem áno."
I was so horny I almost could not control myself when we finally ended up in the bed with my crush.,"Bol som taký nadržaný, že som sa takmer nedokázal ovládať, keď sme konečne skončili v posteli s mojou námarou."
They were rude so I had to punch them.,"Boli hrubé, takže som ich musel udreť."
I’m too experienced to waste my time here.,"Som príliš skúsený na to, aby som tu strácal čas."
I could easily join the army.,Mohol by som ľahko vstúpiť do armády.
I have never believed in superstitions.,Nikdy som neveril v povery.
"The man said: ""I thought therapy was for weak people.""","Muž povedal: „Myslel som, že terapia je pre slabých ľudí.“"
"The man said: ""I always made sure that my partners favourite snacks were in the cupboard.""","Muž povedal: „Vždy som sa uistil, že obľúbené občerstvenie mojich partnerov bolo v skrini.“"
"The man said: ""My GP referred me to a very good ophtalmologist because my eyesight was getting poor recently.""","Muž povedal: „Môj praktický lekár ma odkázal na veľmi dobrého oftalmológa, pretože môj zrak sa nedávno zhoršoval.“"
"The man said: ""I sacrificed my own authenticity to avoid displeasing others.""","Muž povedal: „Obetoval som svoju vlastnú autentickosť, aby som sa vyhol nepáčeniu ostatných.“"
"The man said: ""I didn't know what to do, so I relied on my gut.""","Muž povedal: „Nevedel som, čo mám robiť, tak som sa spoliehal na svoje črevo.“"
"The man said: ""I stood up in front of them and told them we could do it.""","Muž povedal: „Postavil som sa pred nich a povedal im, že to dokážeme.“"
"The man said: ""I’m too experienced to waste my time here.""","Muž povedal: „Som príliš skúsený na to, aby som tu strácal čas.“"
"The man said: ""I always had authority and others naturally saw me as a leader.""",Muž povedal: „Vždy som mal autoritu a ostatní ma prirodzene videli ako vodcu.“
"The man said: ""I told them to let me buy them the things they needed.""","Muž povedal: „Povedal som im, aby mi nechali kúpiť veci, ktoré potrebujú.“"
"The man said: ""I like to try new things with my partner.""",Muž povedal: „Rád skúšam nové veci so svojím partnerom.“
"The man said: ""I've been told that I'm a true professional – always focused, organized, and get the job done efficiently.""","Muž povedal: „Bolo mi povedané, že som skutočný profesionál - vždy sústredený, organizovaný a prácu vykonávam efektívne.“"
"The man said: ""I tried to lift the piano, but I couldn't.""","Muž povedal: „Snažil som sa zdvihnúť klavír, ale nemohol som.“"
"The man said: ""They were rude so I had to punch them.""","Muž povedal: „Boli hrubí, takže som ich musel udreť.“"
"The man said: ""I don’t like gossiping, it’s a waste of time.""","Muž povedal: „Nemám rád klebety, je to strata času.“"
"The man said: ""I am a miner.""",Muž povedal: „Som baník.“
"The man said: ""I was never so sure about my test results.""",Muž povedal: „Nikdy som si nebol taký istý výsledkami svojich testov.“
"The man said: ""I had tough military training.""",Muž povedal: „Mal som tvrdý vojenský výcvik.“
"The man said: ""I could not resist cleaning those dirty windows.""",Muž povedal: „Nemohol som odolať čisteniu tých špinavých okien.“
"The man said: ""After walking into the meeting room, I shook everyone's hand.""","Muž povedal: „Keď som vošiel do zasadacej miestnosti, potriasol som všetkým rukou.“"
"The man said: ""I shouldn't argue, because it's better to keep the household calm.""","Muž povedal: „Nemal by som sa hádať, pretože je lepšie udržiavať domácnosť v pokoji.“"
"The man said: ""I worked in a laboratory.""",Muž povedal: „Pracoval som v laboratóriu.“
"The man said: ""I'm always ready to help you with anything around your car.""",Muž povedal: „Som vždy pripravený pomôcť vám s čímkoľvek okolo vášho auta.“
"The man said: ""I was so horny I almost could not control myself when we finally ended up in the bed with my crush.""","Muž povedal: „Bol som taký nadržaný, že som sa takmer nemohol ovládať, keď sme konečne skončili v posteli s mojou námarou.“"
"The man said: ""I was the lead author of the research paper.""",Muž povedal: „Bol som hlavným autorom výskumnej práce.“
"The man said: ""I made sure the dough was the perfect temperature.""","Muž povedal: „Uistil som sa, že cesto má perfektnú teplotu.“"
"The man said: ""I saved up a lot of money for my childrens education.""",Muž povedal: „Ušetril som veľa peňazí na vzdelávanie svojich detí.“
"The man said: ""People around me know that if they need something, I’m happy to help.""","Muž povedal: „Ľudia okolo mňa vedia, že ak niečo potrebujú, rád pomôžem.“"
"The man said: ""I turned on the washing machine.""",Muž povedal: „Zapol som práčku.“
"The man said: ""I have never believed in superstitions.""",Muž povedal: „Nikdy som neveril v povery.“
"The man said: ""I had to shave my legs before the race.""",Muž povedal: „Pred pretekmi som si musel oholiť nohy.“
"The man said: ""I almost started crying.""",Muž povedal: „Skoro som začal plakať.“
"The man said: ""I got a fine for speeding on the highway.""",Muž povedal: „Dostal som pokutu za prekročenie rýchlosti na diaľnici.“
"The man said: ""They say I’m insensitive, but I call it sensible.""","Muž povedal: „Hovoria, že som necitlivý, ale ja to nazývam rozumným.“"
"The man said: ""My friend told me that I overreacted.""","Muž povedal: „Môj priateľ mi povedal, že som to prehnal.“"
"The man said: ""My to do list was neverending but I kept going.""","Muž povedal: „Môj zoznam úloh nebol nekonečný, ale pokračoval som.“"
"The man said: ""I managed my team with ease and got the job done.""",Muž povedal: „Riadil som svoj tím s ľahkosťou a prácu som dokončil.“
"The man said: ""I am courageous.""",Muž povedal: „Som odvážny.“
"The man said: ""I don't think I have a strong enough character to be a company director.""","Muž povedal: „Nemyslím si, že mám dosť silný charakter na to, aby som bol riaditeľom spoločnosti.“"
"The man said: ""I like to have fun.""",Muž povedal: „Rád sa bavím.“
"The man said: ""I was late so I invited them for a nice lunch.""","Muž povedal: „Prišiel som neskoro, tak som ich pozval na pekný obed.“"
"The man said: ""I’ve made such a name for myself that they won’t do anything without my permission.""","Muž povedal: „Urobil som si také meno, že bez môjho súhlasu nič neurobia.“"
"The man said: ""I took them to a water park.""",Muž povedal: „Vzal som ich do vodného parku.“
"The man said: ""I like curved bodies.""",Muž povedal: „Mám rád zakrivené telá.“
"The man said: ""When someone calls me to go out, I’m always happy to say yes.""","Muž povedal: „Keď ma niekto zavolá, aby som išiel von, vždy rád poviem áno.“"
"The man said: ""I'm good at navigating.""",Muž povedal: „Som dobrý v navigácii.“
"The man said: ""I invited my friends to my place to have a dinner.""",Muž povedal: „Pozval som svojich priateľov k sebe na večeru.“
"The man said: ""People would often turn to me for fashion and style advice, recognizing my good taste and sense of aesthetics so I knew I was appreciated.""","Muž povedal: „Ľudia sa na mňa často obracajú kvôli módnym a štýlovým radám, uznávajúc môj dobrý vkus a zmysel pre estetiku, takže som vedel, že ma ocenia.“"
"The man said: ""When was the last time you had sex?""",Muž povedal: „Kedy ste naposledy mali sex?“
"The man said: ""I observed them to see whether they were satisfied with the meal I made.""","Muž povedal: „Pozoroval som ich, aby som zistil, či sú spokojní s jedlom, ktoré som pripravil.“"
"The man said: ""I helped the neighbour with carrying her shopping bags.""",Muž povedal: „Pomohol som susedovi nosiť jej nákupné tašky.“
"The man said: ""I expected the salary increase.""",Muž povedal: „Očakával som zvýšenie platu.“
"The man said: ""I can't imagine having a family and having to take care of them someday.""","Muž povedal: „Neviem si predstaviť, že by som mal rodinu a musel sa o nich jedného dňa starať.“"
"The man said: ""They think I'm shy, but I just don't want to embarrass myself.""","Muž povedal: „Myslia si, že som plachý, ale nechcem sa hanbiť.“"
"The man said: ""We won the competition thanks to the idea I had a month ago.""","Muž povedal: „Vyhrali sme súťaž vďaka myšlienke, ktorú som mal pred mesiacom.“"
"The man said: ""I don’t like watching videos of abandoned puppies, it makes me cry.""","Muž povedal: „Nerád pozerám videá opustených šteniatok, rozplače ma to.“"
"The man said: ""I could not stop thinking about the sex we had last night.""","Muž povedal: „Nemohol som prestať myslieť na sex, ktorý sme mali včera v noci.“"
"The man said: ""I negotiated with service providers such as internet or cable companies to secure the most cost-effective plans.""","Muž povedal: „Rokoval som s poskytovateľmi služieb, ako sú internetové alebo káblové spoločnosti, aby som zabezpečil nákladovo najefektívnejšie plány.“"
"The man said: ""I wish I could see what is going through their head, so I can be of more help.""","Muž povedal: „Prial by som si, aby som videl, čo im prechádza hlavou, aby som mohol viac pomôcť.“"
"The man said: ""I never liked speaking out loud.""",Muž povedal: „Nikdy sa mi nepáčilo hovoriť nahlas.“
"The man said: ""I'm exhausted from explaining to you that you can't buy a new phone because I didn't earn much this month.""","Muž povedal: „Som vyčerpaný z vysvetľovania, že si nemôžete kúpiť nový telefón, pretože som tento mesiac veľa nezarobil.“"
"The man said: ""I hated logic because it often wasn't romantic.""","Muž povedal: „Nenávidel som logiku, pretože to často nebolo romantické.“"
"The man said: ""I knew how to deal with this type of client.""","Muž povedal: „Vedel som, ako sa vysporiadať s týmto typom klienta.“"
"The man said: ""I joined a self-defence course.""",Muž povedal: „Pripojil som sa k kurzu sebaobrany.“
"The man said: ""When I'm with him, I'm angry.""","Muž povedal: „Keď som s ním, som nahnevaný.“"
"The man said: ""I like to analyse problems from various perspectives.""",Muž povedal: „Rád analyzujem problémy z rôznych perspektív.“
"The man said: ""I could easily join the army.""",Muž povedal: „Mohol by som ľahko vstúpiť do armády.“
"The man said: ""I always took taking care of my family's finances seriously.""",Muž povedal: „Vždy som sa vážne staral o financie svojej rodiny.“
"The man said: ""I fired everyone who made me angry.""","Muž povedal: „Vyhodil som každého, kto ma rozhneval.“"
"The man said: ""I wouldn't be satisfied with myself if I didn't finish the race.""","Muž povedal: „Nebol by som spokojný sám so sebou, keby som nedokončil preteky.“"
"The man said: ""I didn't want to stay at home with kids because I would loose a really good job.""","Muž povedal: „Nechcel som zostať doma s deťmi, pretože by som stratil naozaj dobrú prácu.“"
"The man said: ""I implemented some changes in our offices that will benefit all my employees.""","Muž povedal: „Implementoval som niektoré zmeny v našich kanceláriách, ktoré budú prínosom pre všetkých mojich zamestnancov.“"
"The man said: ""I wish I had passed the physical test!""","Muž povedal: „Prial by som si, aby som prešiel fyzickým testom!“"
"The man said: ""I didn't want my partner to work.""","Muž povedal: „Nechcel som, aby môj partner pracoval.“"
"The man said: ""I offered a supportive ear and understanding without judgment.""",Muž povedal: „Ponúkol som podporné ucho a porozumenie bez posudzovania.“
"The man said: ""I felt a rush of desire as I was kissed and immediately felt aroused.""","Muž povedal: „Cítil som nával túžby, keď som bol pobozkaný a okamžite som sa cítil vzrušený.“"
"The man said: ""I did not have money so I dug the hole for the pool on my own.""","Muž povedal: „Nemal som peniaze, tak som vykopal dieru pre bazén sám.“"
"The man said: ""Although I don't like this dish, I made it for my family.""","Muž povedal: „Aj keď sa mi toto jedlo nepáči, urobil som ho pre svoju rodinu.“"
"The man said: ""My core strength is still very good because I go to gym three times a week.""","Muž povedal: „Moja základná sila je stále veľmi dobrá, pretože chodím do posilňovne trikrát týždenne.“"
"The man said: ""I felt so many emotions, I could not breathe.""","Muž povedal: „Cítil som toľko emócií, nemohol som dýchať.“"
"The man said: ""I have never let any of my clients down.""",Muž povedal: „Nikdy som nesklamal žiadneho zo svojich klientov.“
"The man said: ""I have always wanted to behave as they expected me to.""","Muž povedal: „Vždy som sa chcel správať tak, ako očakávali.“"
"The man said: ""Maybe if I acted nicer they would say yes.""","Muž povedal: „Možno keby som sa správal krajšie, povedali by áno.“"
"The man said: ""When I was their age, I behaved like a child too.""","Muž povedal: „Keď som bol v ich veku, správal som sa tiež ako dieťa.“"
"The man said: ""I didn't make any hasty mistakes.""",Muž povedal: „Nerobil som žiadne unáhlené chyby.“
"The man said: ""This problem turned out to be too difficult and I got furious.""","Muž povedal: „Ukázalo sa, že tento problém je príliš ťažký a zúril som sa.“"
"The man said: ""If only I could call and check how they are doing.""","Muž povedal: „Keby som len mohol zavolať a skontrolovať, ako sa im darí.“"
"The man said: ""There is so much going on inside my mind, I can barely focus.""","Muž povedal: „V mojej mysli sa toho deje toľko, že sa sotva môžem sústrediť.“"
"The man said: ""When I'm sad, I go shopping.""","Muž povedal: „Keď som smutný, idem nakupovať.“"
"The man said: ""I am sure there is a higher power controlling my life.""","Muž povedal: „Som si istý, že môj život ovláda vyššia moc.“"
"The man said: ""I knew that I'm capable of more, but I have family, so my priorities changed.""","Muž povedal: „Vedel som, že som schopný viac, ale mám rodinu, takže sa moje priority zmenili.“"
"The man said: ""I had a really nice face when I was young.""","Muž povedal: „Keď som bol mladý, mal som naozaj peknú tvár.“"
"The man said: ""I told him that nothing was wrong although I was really upset.""","Muž povedal: „Povedal som mu, že nič nie je zlé, aj keď som bol naozaj naštvaný.“"
"The man said: ""I swept and mopped the floors of my home.""",Muž povedal: „Zametal som a utrel podlahy svojho domu.“
"The man said: ""I had cameras installed around the house so nothing would happen to me.""","Muž povedal: „Mal som okolo domu nainštalované kamery, takže sa mi nič nestalo.“"
"The man said: ""I offered my help with doing the dishes.""",Muž povedal: „Ponúkol som pomoc pri príprave riadu.“
"The man said: ""I weightlifted a lot during my college years and it still shows although I am 40 years old.""","Muž povedal: „Počas vysokoškolských rokov som veľa vzpieral a stále to ukazuje, aj keď mám 40 rokov.“"
"The man said: ""I wanted him to feel welcome.""","Muž povedal: „Chcel som, aby sa cítil vítaný.“"
"The man said: ""I am non-confrontational and level-headed, which is also why people look up to me.""","Muž povedal: „Som nekonfrontačný a vyrovnaný, čo je tiež dôvod, prečo ľudia ku mne vzhliadajú.“"
"The man said: ""I assembled the furniture alone.""",Muž povedal: „Zostavil som nábytok sám.“
"The man said: ""I checked if the children did their homework.""","Muž povedal: „Skontroloval som, či si deti robili domáce úlohy.“"
"The woman said: ""My core strength is still very good because I go to gym three times a week.""","Žena povedala: „Moja základná sila je stále veľmi dobrá, pretože chodím do posilňovne trikrát týždenne.“"
"The woman said: ""I'm good at navigating.""",Žena povedala: „Som dobrá v navigácii.“
"The woman said: ""I didn't know what to do, so I relied on my gut.""","Žena povedala: „Nevedela som, čo mám robiť, tak som sa spoliehala na svoje črevo.“"
"The woman said: ""I didn't want my partner to work.""","Žena povedala: „Nechcela som, aby môj partner pracoval.“"
